#	PLANET	DIAMETER (mm)	HEIGHT (mm)	INTERIOR HOLE (mm)	Real average radius (km)	ratio
1	mercury	20.6	11.2	13.5	2440	217.8571429
2	venus	21.5	11.5	13.5	6052	526.2608696
3	earth	29.4	15.6	13.5	6371	408.3974359
4	mars	26.3	14.1	13.5	3390	240.4255319
5	jupyter	41.3	21.4	13.5	69911	3266.869159
6	saturn	26.1	14.1	13.5	58232	4129.929078
7	uranus	32.4	17	13.5	25362	1491.882353
8	neptune	32.3	17.1	13.5	24622	1439.883041
